,Unnamed: 0,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block
2990,21114,HUN,Hungary,2020-09-30,26461.0,765.0,40.74,9660350,26777.561,0.838,Hungary,93030.0,2020-09-30,2020-09-30,Hungary,Member,93030.0,106.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.2844351284531871,0.00273913471044,0.0,93030.0,103.84123401053424,2.0,Hungary,EU
3032,21408,ISL,Iceland,2020-09-30,2695.0,10.0,31.48,341250,46482.958,0.935,Iceland,103000.0,2020-09-30,2020-09-30,Iceland,,102775.0,3.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.0262223303332522,0.0078974358974358,0.0,102775.0,3.320360009729993,2.0,,All_Others
3074,21702,IND,India,2020-09-30,6225763.0,97497.0,73.61,1380004385,6426.674,0.64,India,3287590.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0045114081286053,0.0,,,4.0,India,BRICS
3116,21996,IDN,Indonesia,2020-09-30,282724.0,10601.0,68.98,273523621,11188.744,0.694,Indonesia,1919440.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0010336365062964,0.0,,,3.0,,All_Others
3158,22290,IRN,Iran,2020-09-30,453637.0,25986.0,54.63,83992953,19082.62,0.798,Iran,1648000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0054008935725834,0.1,,,3.0,,All_Others
3200,22584,IRQ,Iraq,2020-09-30,358290.0,9122.0,73.15,40222503,15663.986,0.685,Iraq,437072.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0089077002492858,0.0,,,4.0,,All_Others
3242,22878,IRL,Ireland,2020-09-30,35740.0,1803.0,52.31,4937796,67335.293,0.938,Ireland,70280.0,2020-09-30,2020-09-30,Ireland,Member,70273.0,66.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.5085879356225008,0.0072380470963158,0.1,70273.0,70.26590582442759,3.0,Ireland,EU
3272,23091,IMN,Isle of Man,2020-09-30,340.0,24.0,0.0,85032,,,Isle of Man,572.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0039984946843541,0.1,,,0.0,,All_Others
3314,23385,ISR,Israel,2020-09-30,236926.0,1528.0,85.19,8655541,33132.32,0.903,Israel,20770.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.027372754631975,0.0,,,4.0,,All_Others
3356,23679,ITA,Italy,2020-09-30,313011.0,35875.0,43.52,60461828,35220.084,0.88,Italy,301230.0,2020-09-30,2020-09-30,Italy,Member,301338.0,202.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,1.038737231945523,0.0051770019259093,0.1,301338.0,200.6445519649032,2.0,Italy,EU
3387,23900,JAM,Jamaica,2020-09-30,6382.0,100.0,78.7,2961161,8193.571,0.732,Jamaica,10991.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0021552357335518,0.0,,,4.0,,All_Others
3429,24194,JPN,Japan,2020-09-30,83010.0,1564.0,31.48,126476458,39002.223,0.909,Japan,377835.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0006563276779936,0.0,,,2.0,,All_Others
3459,24408,JEY,Jersey,2020-09-30,409.0,32.0,0.0,101073,,,Jersey,116.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0040465801945128,0.1,,,0.0,,All_Others
3491,24635,JOR,Jordan,2020-09-30,10049.0,57.0,63.89,10203140,8337.49,0.735,Jordan,92300.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0009848928859155,0.0,,,3.0,,All_Others
3522,24856,KAZ,Kazakhstan,2020-09-30,140707.0,2078.0,78.7,18776707,24055.588,0.8,Kazakhstan,2717300.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0074936995075867,0.0,,,4.0,,All_Others
3554,25084,KEN,Kenya,2020-09-30,38378.0,707.0,67.59,53771300,2993.028,0.59,Kenya,582650.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0007137264674649,0.0,,,3.0,,All_Others
3585,25304,OWID_KOS,Kosovo,2020-09-30,15574.0,625.0,58.33,1932774,9795.834,0.0,Kosovo,4204.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0080578484602959,0.0,,,3.0,,All_Others
3627,25598,KWT,Kuwait,2020-09-30,104568.0,607.0,65.74,4270563,65530.537,0.803,Kuwait,17820.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0244857645233192,0.0,,,3.0,,All_Others
